"id","producer_id","description","cocoa_percentage","wrapper","quantity","double","archive","notes","created_at"
1,6,"Ghana cioccolato amaro delicato",70,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
2,31,"Extra fondente",88,"box",75,1,"faldone blu","","2015-05-23 18:14:21"
3,7,"Extra fondente al peperoncino",75,"paper",45,0,"faldone giallo","","2015-05-23 18:14:21"
4,7,"extra fondente ripiena di crema al latte e cacao con scorzete d'arancia candita",56,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
5,32,"Heildelbeer-Limone",53,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
6,6,"Ecuador cioccolato aromatico intenso",75,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
7,25,"Gorzka Macierzynstwo",72,"box",100,0,"","","2015-05-23 18:14:21"
8,26,"Ecuador edelcacao",70,"box",125,0,"","","2015-05-23 18:14:21"
9,21,"Cioccolato extra fondente con fave di cacao",80,"box",100,0,"","","2015-05-23 18:14:21"
10,24,"Czekolada gorzka Warszawa syrenka na starowce",90,"paper",100,0,"raccoglitore","","2015-05-23 18:14:21"
11,23,"Czekolada gorzka",64,"box",100,0,"","","2015-05-23 18:14:21"
12,33,"Extra fondente Costa Rica",71,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
13,14,"Feine bitter",85,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
14,31,"Grandi Cru del cacao Ecuador (rossa)",75,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
15,6,"Cioccolato fondente amaro extra",88,"box",75,0,"faldone blu","","2015-05-23 18:14:21"
16,34,"Fondente Natale",73,"box",100,0,"","","2015-05-23 18:14:21"
17,35,"Chocolate bar with chocolate truffle with brandy filling (green)",48,"paper",50,0,"faldone rosso","","2015-05-23 18:14:21"
18,6,"Cioccolato fondente extra",50,"paper",100,1,"faldone giallo","","2015-05-23 18:14:21"
19,36,"Crystallised ginger",65,"paper",70,0,"faldone rosso","","2015-05-23 18:14:21"
20,37,"Cioccolato fondente extra Repubblica Dominicana",70,"box",100,0,"","","2015-05-23 18:14:21"
21,37,"Cioccolato fondente extra Ecuador",70,"box",100,0,"","","2015-05-23 18:14:21"
22,38,"Cioccolato fondente",50,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
23,7,"Cremino extra fondente",56,"paper",170,0,"faldone giallo","","2015-05-23 18:14:21"
24,8,"Mascao 6 tavolette di cioccolato fondente extra in 4 gusti",0,"box",0,0,"","sei tavolette incluse","2015-05-23 18:14:21"
25,1,"Criollo Puertomar",75,"box",25,0,"","","2015-05-23 18:14:21"
26,9,"cioccolata modicana Naturàl",45,"box",50,0,"","","2015-05-23 18:14:21"
27,39,"Dumle original",36,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
28,29,"Nero",70,"box",100,1,"faldone blu","","2015-05-23 18:14:21"
29,29,"Sfoglie ripiene",70,"box",78,0,"","","2015-05-23 18:14:21"
30,40,"Milch extra",25,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
31,41,"Extra Bitter",81,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
32,42,"Noir - Plain",70,"box",100,0,"","","2015-05-23 18:14:21"
33,23,"Czekolada z lisciem miety",66,"box",100,0,"","","2015-05-23 18:14:21"
34,43,"Puro cioccolato fondente non concato",80,"box",50,0,"","","2015-05-23 18:14:21"
35,29,"Sfoglie (2012)",70,"box",96,0,"","","2015-05-23 18:14:21"
36,6,"Cioccolato al latte finissimo",30,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
37,44,"Blanco 30% cacao bio con limòn y pimienta rosa",30,"box",100,0,"","","2015-05-23 18:14:21"
38,1,"Apurimac",70,"box",25,0,"faldone blu","","2015-05-23 18:14:21"
39,16,"Noir Prodigieux",90,"box",100,1,"faldone verde","","2015-05-23 18:14:21"
40,8,"Mascao fondente extra",85,"box",100,1,"faldone blu","","2015-05-23 18:14:21"
41,8,"Companera extra fondente con nocciole intere",60,"paper",100,0,"faldone giallo","","2015-05-23 18:14:21"
42,1,"Criollo Porcelana",70,"box",25,1,"","","2015-05-23 18:14:21"
43,46,"Cioccolato grezzo alla pietra",70,"box",55,1,"faldone blu","","2015-05-23 18:14:21"
44,8,"Bribon fondente zenzero e limone",60,"paper",30,0,"faldone giallo","","2015-05-23 18:14:21"
45,8,"Masco bianco con fave di cacao",0,"box",100,1,"faldone blu","","2015-05-23 18:14:21"
46,48,"Mousse Chocolat",60,"box",100,0,"","","2015-05-23 18:14:21"
47,16,"Cioccolato al latte con granella di cocco (2012)",30,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
48,16,"Cioccolato bianco con morbidi pezzi di cedro",0,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
49,16,"Cioccolato fondente con granella alla menta (2012)",50,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
50,49,"Cioccolato puro con zucchero di canna",65,"box",50,0,"","","2015-05-23 18:14:21"
51,47,"Chocolat noir Abinao",85,"box",70,0,"","","2015-05-23 18:14:21"
52,47,"Manjari Orange",64,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
53,1,"Single origins",70,"box",28,0,"","sei napolitains inclusi","2015-05-23 18:14:21"
54,1,"Sur del Lago - Venezuela",70,"paper",5,0,"","","2015-05-23 18:14:21"
55,1,"Sambirano - Madagascar",70,"paper",5,1,"","","2015-05-23 18:14:21"
56,1,"Arriba - Ecuador",70,"paper",5,0,"","","2015-05-23 18:14:21"
57,1,"Apurimac - Perù",70,"paper",5,0,"","","2015-05-23 18:14:21"
58,1,"Tenuya - Colombia",70,"paper",5,0,"","","2015-05-23 18:14:21"
59,1,"Rio Caribe - Venezuela",70,"paper",5,0,"","","2015-05-23 18:14:21"
60,16,"Noir Ecuador",75,"box",100,0,"faldone verde","","2015-05-23 18:14:21"
61,26,"Amazonas edelcacao",60,"box",125,0,"","","2015-05-23 18:14:21"
62,29,"Fondente extra cacao Ecuador",50,"box",75,0,"","","2015-05-23 18:14:21"
63,16,"Lindor dark",41,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
64,50,"Cioccolato fondente extra Repubblica Dominicana",70,"box",100,0,"faldone blu","","2015-05-23 18:14:21"
65,54,"Sudusukkuladi",70,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
66,54,"Vinasukkuladi",45,"paper",100,0,"faldone rosso","","2015-05-23 18:14:21"
